Datetime,Company,Low,Open,High,Close,Volume
2024-05-10 12:25:00,AAPL,182.425,182.56,182.61,182.489,299913
2024-05-10 12:30:00,AAPL,182.45,182.485,182.56,182.56,264998
2024-05-10 12:35:00,AAPL,182.465,182.555,182.59,182.49,277213
2024-05-10 12:40:00,AAPL,182.375,182.496,182.54,182.407,229770
2024-05-10 12:45:00,AAPL,182.38,182.407,182.537,182.48,321481
2024-05-10 12:50:00,AAPL,182.39,182.474,182.485,182.446,196740
2024-05-10 12:55:00,AAPL,182.35,182.44,182.48,182.39,274548
2024-05-10 13:00:00,AAPL,182.33,182.39,182.44,182.43,207627
2024-05-10 13:05:00,AAPL,182.27,182.439,182.44,182.27,232706
2024-05-10 13:10:00,AAPL,182.21,182.27,182.35,182.315,306066
2024-05-10 13:15:00,AAPL,182.26,182.315,182.35,182.33,212224
2024-05-10 13:20:00,AAPL,182.32,182.33,182.46,182.405,270596
2024-05-10 13:25:00,AAPL,182.34,182.4,182.42,182.395,203621
2024-05-10 13:30:00,AAPL,182.37,182.39,182.43,182.42,183186
2024-05-10 13:35:00,AAPL,182.39,182.415,182.48,182.39,299787
2024-05-10 13:40:00,AAPL,182.33,182.395,182.45,182.35,358178
2024-05-10 13:45:00,AAPL,182.13,182.355,182.375,182.238,371541
2024-05-10 13:50:00,AAPL,182.23,182.24,182.4,182.39,278885
2024-05-10 13:55:00,AAPL,182.38,182.39,182.52,182.475,287147
2024-05-10 14:00:00,AAPL,182.35,182.475,182.86,182.64,1049565
2024-05-10 14:05:00,AAPL,182.55,182.64,182.748,182.748,407618
2024-05-10 14:10:00,AAPL,182.54,182.75,182.775,182.565,335317
2024-05-10 14:15:00,AAPL,182.56,182.56,182.765,182.721,366568
2024-05-10 14:20:00,AAPL,182.69,182.725,182.81,182.75,266100
2024-05-10 14:25:00,AAPL,182.625,182.74,182.75,182.74,273084
2024-05-10 14:30:00,AAPL,182.61,182.73,182.74,182.7,248726
2024-05-10 14:35:00,AAPL,182.57,182.69,182.69,182.635,211550
2024-05-10 14:40:00,AAPL,182.63,182.633,182.86,182.86,427942
2024-05-10 14:45:00,AAPL,182.75,182.865,182.87,182.835,414187
2024-05-10 14:50:00,AAPL,182.77,182.84,182.93,182.805,313472
2024-05-10 14:55:00,AAPL,182.8,182.81,182.91,182.91,326571
2024-05-10 15:00:00,AAPL,182.75,182.908,182.912,182.86,300989
2024-05-10 15:05:00,AAPL,182.81,182.86,182.9,182.81,226705
2024-05-10 15:10:00,AAPL,182.675,182.815,182.816,182.79,358416
2024-05-10 15:15:00,AAPL,182.78,182.79,182.9,182.87,352228
2024-05-10 15:20:00,AAPL,182.815,182.865,182.91,182.87,326315
2024-05-10 15:25:00,AAPL,182.85,182.87,182.97,182.94,498203
2024-05-10 15:30:00,AAPL,182.79,182.94,182.997,182.975,542175
2024-05-10 15:35:00,AAPL,182.921,182.94,183.145,183.095,680159
2024-05-10 15:40:00,AAPL,182.96,183.1,183.13,182.98,533638
2024-05-10 15:45:00,AAPL,182.95,182.98,183.09,183.03,716194
2024-05-10 15:50:00,AAPL,183.02,183.03,183.2,183.11,1322740
2024-05-10 15:55:00,AAPL,182.97,183.12,183.13,182.99,1388704
2024-05-10 16:00:00,AAPL,182.88,182.99,183.05,182.94,15355610
2024-05-10 16:05:00,AAPL,182.86,182.93,183.05,182.875,272279
2024-05-10 16:10:00,AAPL,182.84,182.87,183.05,182.88,18231
2024-05-10 16:15:00,AAPL,182.69,182.86,183.05,182.69,9209
2024-05-10 16:20:00,AAPL,182.67,182.67,182.75,182.74,3976
2024-05-10 16:25:00,AAPL,182.71,182.75,182.76,182.72,2382
2024-05-10 16:30:00,AAPL,182.67,182.71,182.73,182.69,4923
2024-05-10 16:35:00,AAPL,182.63,182.72,182.73,182.71,5431
2024-05-10 16:40:00,AAPL,182.66,182.709,182.71,182.71,2725
2024-05-10 16:45:00,AAPL,182.7,182.7,182.73,182.7,628
2024-05-10 16:50:00,AAPL,182.66,182.7,182.76,182.685,2623
2024-05-10 16:55:00,AAPL,173.419,182.7,185.0,182.58,191119
2024-05-10 17:00:00,AAPL,171.572,182.59,183.06,182.85,24754
2024-05-10 17:05:00,AAPL,170.116,182.71,182.84,182.775,1115
2024-05-10 17:10:00,AAPL,182.71,182.76,182.8,182.76,554
2024-05-10 17:15:00,AAPL,182.76,182.79,182.9,182.82,2226
2024-05-10 17:20:00,AAPL,182.77,182.9,182.9,182.89,1616
2024-05-10 17:25:00,AAPL,182.77,182.83,182.9,182.85,709
2024-05-10 17:30:00,AAPL,182.8,182.9,183.05,182.85,1639532
2024-05-10 17:35:00,AAPL,182.8,182.85,183.05,182.89,35425
2024-05-10 17:40:00,AAPL,182.8,182.8,182.89,182.8,645
2024-05-10 17:45:00,AAPL,182.8,182.89,182.89,182.85,558
2024-05-10 17:50:00,AAPL,182.76,182.87,182.89,182.81,1707
2024-05-10 17:55:00,AAPL,182.75,182.78,182.82,182.82,723
2024-05-10 18:00:00,AAPL,182.75,182.81,182.84,182.77,1143
2024-05-10 18:05:00,AAPL,182.75,182.76,182.8,182.78,2186
2024-05-10 18:10:00,AAPL,182.75,182.75,182.8,182.76,364
2024-05-10 18:15:00,AAPL,182.76,182.761,182.8,182.78,704
2024-05-10 18:20:00,AAPL,182.75,182.79,182.84,182.775,1340
2024-05-10 18:25:00,AAPL,182.75,182.751,182.785,182.78,709
2024-05-10 18:30:00,AAPL,182.75,182.78,182.78,182.75,312
2024-05-10 18:35:00,AAPL,182.75,182.765,182.82,182.76,1007
2024-05-10 18:40:00,AAPL,182.75,182.75,182.79,182.76,612
2024-05-10 18:45:00,AAPL,182.75,182.755,182.76,182.76,377
2024-05-10 18:50:00,AAPL,182.75,182.76,182.76,182.76,478
2024-05-10 18:55:00,AAPL,182.75,182.75,182.84,182.835,1348
2024-05-10 19:00:00,AAPL,182.8,182.82,183.05,182.855,8514
2024-05-10 19:05:00,AAPL,182.75,182.82,182.89,182.815,607
2024-05-10 19:10:00,AAPL,182.75,182.815,182.86,182.76,195
2024-05-10 19:15:00,AAPL,182.75,182.8,182.85,182.75,752
2024-05-10 19:20:00,AAPL,182.7,182.765,182.79,182.7,1161
2024-05-10 19:25:00,AAPL,182.61,182.76,182.77,182.655,627
2024-05-10 19:30:00,AAPL,182.61,182.7,182.77,182.71,2563
2024-05-10 19:35:00,AAPL,182.66,182.715,182.77,182.715,204
2024-05-10 19:40:00,AAPL,182.6,182.69,182.7,182.65,2986
2024-05-10 19:45:00,AAPL,182.6,182.6,182.7,182.7,364
2024-05-10 19:50:00,AAPL,182.6,182.66,182.7,182.625,2222
2024-05-10 19:55:00,AAPL,182.5,182.65,182.65,182.51,4936
2024-05-10 11:40:00,MSFT,412.68,413.57,413.59,412.87,85317
2024-05-10 11:45:00,MSFT,412.65,412.85,413.37,413.223,114854
2024-05-10 11:50:00,MSFT,413.14,413.18,413.415,413.305,62003
2024-05-10 11:55:00,MSFT,413.32,413.32,413.77,413.71,61337
2024-05-10 12:00:00,MSFT,413.35,413.72,413.77,413.58,83382
2024-05-10 12:05:00,MSFT,413.38,413.6,413.86,413.81,75082
2024-05-10 12:10:00,MSFT,413.735,413.81,413.88,413.84,87565
2024-05-10 12:15:00,MSFT,413.86,413.88,414.12,413.915,92811
2024-05-10 12:20:00,MSFT,413.85,413.93,414.08,414.0,70662
2024-05-10 12:25:00,MSFT,413.71,413.995,413.995,413.81,53639
2024-05-10 12:30:00,MSFT,413.74,413.81,414.073,414.02,46779
2024-05-10 12:35:00,MSFT,413.74,414.024,414.2,413.85,65892
2024-05-10 12:40:00,MSFT,413.858,413.86,413.985,413.88,36990
2024-05-10 12:45:00,MSFT,413.88,413.9,414.46,414.46,60514
2024-05-10 12:50:00,MSFT,414.28,414.432,414.59,414.538,59245
2024-05-10 12:55:00,MSFT,414.4,414.46,414.64,414.438,44531
2024-05-10 13:00:00,MSFT,414.28,414.4,414.58,414.48,69214
2024-05-10 13:05:00,MSFT,414.1,414.47,414.47,414.14,53658
2024-05-10 13:10:00,MSFT,414.13,414.2,414.44,414.39,46574
2024-05-10 13:15:00,MSFT,414.35,414.398,414.49,414.376,40591
2024-05-10 13:20:00,MSFT,414.051,414.33,414.36,414.222,723122
2024-05-10 13:25:00,MSFT,413.98,414.16,414.25,414.01,36703
2024-05-10 13:30:00,MSFT,413.98,414.03,414.165,414.094,50586
2024-05-10 13:35:00,MSFT,414.032,414.13,414.23,414.1,35241
2024-05-10 13:40:00,MSFT,413.78,414.1,414.12,413.857,46569
